Группа вопросов/тема,Вопрос,Ответ на вопрос,Сложность/уровень вопроса,"Попадался ли на интервью, если да то какой компании",Ссылка на статью с объяснением/ответом
Постановка задач,Классификация-Дайте определение классификации. Какие методы классификации вы знаете?,"Классификация — это задача машинного обучения, направленная на определение принадлежности объекта к одному из заранее определённых классов на основе его характеристик (признаков). Методы классификации включают:

Логистическая регрессия: Статистический метод для бинарной классификации.
Метод опорных векторов (SVM): Строит гиперплоскость, разделяющую классы с максимальным зазором.
Наивный байесовский классификатор: Использует теорему Байеса для классификации на основе вероятностей.
k-ближайших соседей (k-NN): Классифицирует объект на основе класса ближайших соседей в пространстве признаков.
Деревья решений: Построение дерева на основе условий, делящих данные на классы.
Случайный лес (Random Forest): Комбинация нескольких деревьев решений для улучшения стабильности и точности.
Градиентный бустинг: Итеративное обучение модели на антиградиентах ошибки предыдущих моделей.
Нейронные сети: Использование слоёв нейронов для обучения сложным зависимостям между данными и классами.",,,
Постановка задач,Что включает в себя задача прогнозирования?,"Задача прогнозирования включает в себя анализ исторических данных для построения модели, которая может предсказать будущие значения целевой переменной. Основные этапы:

Сбор данных: Получение и подготовка данных для анализа.
Предварительная обработка данных: Очистка данных, заполнение пропусков, кодирование категориальных переменных.
Выбор модели: Определение подходящей модели для задачи (например, регрессия, временные ряды).
Обучение модели: Настройка параметров модели на тренировочных данных.
Валидация модели: Оценка модели на отложенной выборке для проверки точности и генерализации.
Тестирование и внедрение: Оценка производительности модели и её применение для реальных прогнозов.
Мониторинг: Постоянное отслеживание модели для своевременного обновления и улучшения.",,,
"Процесс обучения, недо- и переобучение",Градиентный спуск-Что такое градиент?,"Градиент — это вектор, указывающий направление наибольшего увеличения функции в заданной точке. В контексте оптимизации градиент используется для обновления параметров модели в направлении, противоположном градиенту, с целью минимизации функции потерь. Градиентный спуск обновляет параметры модели, чтобы минимизировать ошибку.",,,https://teletype.in/@python_academy/J5J5mioH7
"Процесс обучения, недо- и переобучение","Если взять GD и SGD и есть возможность использования GD, что лучше сработает?","Выбор между Градиентным спуском (GD) и Стохастическим градиентным спуском (SGD) зависит от задачи:

GD использует весь набор данных для вычисления градиента и выполняет одно обновление. Он более точен, но медленен и требует много памяти для больших наборов данных.

SGD обновляет параметры на основе одного или нескольких случайно выбранных примеров из набора данных, что делает его более быстрым и эффективным для больших наборов данных. Однако он может быть менее стабильным из-за стохастического характера обновлений.

Мини-батч градиентный спуск является компромиссом, совмещая преимущества GD и SGD, и часто предпочтителен для практического использования.",,,
"Процесс обучения, недо- и переобучение",Борьба с переобучением-Какие варианты есть?,"Регуляризация: Применение L1 или L2 регуляризации для уменьшения избыточных параметров модели.

Dropout: Случайное отключение нейронов в процессе обучения для предотвращения коадаптации.

Аугментация данных: Искусственное увеличение размера обучающего набора данных с помощью различных трансформаций.

Раннее прекращение (Early Stopping): Остановка обучения, когда ошибка на валидационной выборке начинает увеличиваться.

Сокращение размерности: Удаление нерелевантных или коррелированных признаков из данных.

Сбор большего объема данных: Добавление новых примеров для улучшения способности модели обобщать данные.

Bagging и Boosting: Методы ансамблирования, такие как случайный лес и градиентный бустинг, для уменьшения переобучения за счёт комбинации нескольких моделей.",,Яндекс,
"Процесс обучения, недо- и переобучение",Что такое компромис bias & variance (смещение и разброс),"Компромисс смещения и разброса (bias-variance tradeoff) — это баланс между двумя основными видами ошибок, возникающими при обучении модели:

Смещение (Bias): Ошибка, возникающая из-за слишком упрощенной модели, неспособной учесть сложные зависимости в данных (недообучение).

Разброс (Variance): Ошибка, возникающая из-за слишком сложной модели, чрезмерно приспособившейся к обучающим данным (переобучение).

Цель — найти модель, которая минимизирует обе ошибки, достигая хорошей генерализации.",,Wildberries,https://education.yandex.ru/handbook/ml/article/bias-variance-decomposition
"Процесс обучения, недо- и переобучение",Какой bias/variance у константной модели?,"У константной модели высокий bias и низкий variance. Такая модель игнорирует информацию о признаках и всегда предсказывает одно и то же значение (например, среднее по обучающему набору), что приводит к большим систематическим ошибкам (высокое смещение), но низкой вариативности в предсказаниях (низкий разброс).",,Wildberries,
"Процесс обучения, недо- и переобучение",В чем суть RLHF?,"RLHF (Reinforcement Learning from Human Feedback) — это подход, который использует методы обучения с подкреплением, чтобы улучшить качество моделей машинного обучения, используя обратную связь от человека. Цель — обучить модели, оптимизируя их поведение в соответствии с человеческими предпочтениями и оценками. Это делается через алгоритмы, которые учатся на данных о предпочтениях, предоставляемых экспертами или пользователями.",Стажер,АИРИ,
Решающие деревья и их ансамбли (лес и бустинг),Как работает градиентный бустинг на деревьях?,"Градиентный бустинг на деревьях — это метод ансамблирования, который строит последовательность моделей (обычно деревьев решений), где каждая последующая модель исправляет ошибки предыдущих. Основные этапы:

Инициализация: Начальная модель предсказывает среднее целевой переменной.

Итерации: На каждой итерации строится новое дерево, которое обучается на антиградиенте ошибки предыдущей модели. Антиградиент показывает направление, в котором нужно улучшить модель.

Обновление: Новая модель добавляется к ансамблю, суммируя её предсказания с предсказаниями предыдущих моделей.

Повторение: Процесс повторяется до достижения заданного числа итераций или сходимости.

Градиентный бустинг эффективно исправляет ошибки предыдущих моделей, улучшая точность и обобщающую способность.",,,
Решающие деревья и их ансамбли (лес и бустинг),Чем отличается градиентный бустинг от случайного леса?,"Структура:

Градиентный бустинг строит модели последовательно, каждая модель исправляет ошибки предыдущих.
Случайный лес строит модели (деревья решений) параллельно и объединяет их предсказания голосованием или усреднением.
Цель:

Градиентный бустинг минимизирует ошибку за счёт обучения на антиградиенте ошибки предыдущих моделей.
Случайный лес снижает разброс за счёт комбинации предсказаний нескольких деревьев.
Скорость обучения:

Градиентный бустинг медленнее обучается, так как модели строятся последовательно.
Случайный лес быстрее в обучении благодаря параллельности.
Чувствительность к переобучению:

Градиентный бустинг более чувствителен к переобучению из-за последовательного обучения.
Случайный лес более устойчив к переобучению благодаря случайности в выборе признаков и данных.",,,
Решающие деревья и их ансамбли (лес и бустинг),В чем смысл обучать на анти-градиенте?,"Обучение на анти-градиенте позволяет градиентному бустингу корректировать ошибки предыдущих моделей. Антиградиент ошибки текущей модели указывает направление, в котором необходимо обновить предсказания, чтобы минимизировать функцию потерь. Это позволяет каждой новой модели в ансамбле сосредоточиться на трудных для классификации примерах, улучшая точность и обобщение модели на обучающих данных.",,,
Решающие деревья и их ансамбли (лес и бустинг),Преимущества и недостатки градиентного бустинга,"Преимущества:

Высокая точность: Градиентный бустинг может достичь высокой точности, так как исправляет ошибки предыдущих моделей.
Гибкость: Поддерживает различные функции потерь и может применяться как для задач классификации, так и регрессии.
Обработка разнородных данных: Эффективен при работе с различными типами данных и не требует нормализации признаков.
Интерпретируемость: Возможность оценки важности признаков и интерпретации модели через анализ деревьев.
Недостатки:

Чувствительность к переобучению: Высокий риск переобучения, особенно при использовании слишком большого числа деревьев.
Высокая вычислительная сложность: Процесс обучения медленный и требует значительных вычислительных ресурсов.
Необходимость тщательной настройки: Требует оптимизации множества гиперпараметров, таких как количество деревьев, скорость обучения и глубина деревьев.
Чувствительность к выбросам: Может быть подвержен влиянию выбросов в данных, что влияет на качество модели.",,,
Решающие деревья и их ансамбли (лес и бустинг),"Почему бы вместо деревьев в градиентном бустинге не использовать, например, линейную регрессию?","Деревья решений в градиентном бустинге позволяют модели обучаться нелинейным зависимостям в данных, в то время как линейная регрессия ограничивается линейными зависимостями. Градиентный бустинг с деревьями может автоматически обрабатывать взаимодействия между признаками и сложные структуры данных, что делает его более универсальным и мощным для широкого круга задач. Линейная регрессия может быть менее эффективной в задачах, где присутствуют нелинейности и сложные зависимости.",,,
Решающие деревья и их ансамбли (лес и бустинг),Как именно получается итоговый ответ в градиентном бустинге?,"В градиентном бустинге итоговый ответ формируется как сумма предсказаний всех деревьев. Каждый последующий дерево обучается на ошибках предыдущих деревьев (антиградиентах функции потерь) и добавляется с определённым весом, зависящим от скорости обучения. Итоговое предсказание является взвешенной суммой всех деревьев, что позволяет модели исправлять ошибки и улучшать точность на каждом шаге.",,,
Решающие деревья и их ансамбли (лес и бустинг),Может ли градиентый бустинг переобучиться с увеличением количества деревьев?,"Да, градиентный бустинг может переобучиться с увеличением количества деревьев. Если модель имеет слишком много деревьев или слишком большие деревья, она может слишком сильно приспособиться к обучающим данным, что приводит к снижению обобщающей способности на новых данных. Это можно контролировать с помощью регуляризации и раннего прекращения обучения.",,,
Решающие деревья и их ансамбли (лес и бустинг),Какой глубины деревья используются в градиентном бустинге? Почему?,"В градиентном бустинге обычно используются деревья небольшой глубины, часто от 3 до 8 уровней. Небольшая глубина помогает избежать переобучения, поскольку более мелкие деревья менее подвержены слишком сильному приспособлению к данным. Они действуют как слабые модели, которые, в совокупности, создают мощную и обобщающую модель.",,,
Решающие деревья и их ансамбли (лес и бустинг),"Как изменится метрика ошибки, например MAE, если из бустинга убрать первое дерево. А если последнее?","Убрать первое дерево: MAE может увеличиться, поскольку первое дерево обычно задает начальную оценку целевой переменной и важный базовый уровень. Удаление может привести к более низкому качеству последующих исправлений.

Убрать последнее дерево: MAE, вероятно, уменьшится меньше, поскольку последнее дерево делает мелкие коррекции. Оно добавляет уточнения, но отсутствие одного дерева не так сильно повлияет на общую точность, как удаление первого дерева.",,,
Решающие деревья и их ансамбли (лес и бустинг),"Когда бустинг менее эффективен, чем линейная регрессия?","Бустинг может быть менее эффективен, чем линейная регрессия, когда:

Линейные данные: Если данные имеют сильную линейную зависимость, линейная регрессия может дать лучшие результаты с меньшими затратами.
Маленькие наборы данных: Для небольших наборов данных бустинг может быть избыточен и привести к переобучению.
Высокая вычислительная сложность: Линейная регрессия требует меньше времени и ресурсов на обучение.
Интерпретация модели: Линейная регрессия обеспечивает более простую интерпретацию коэффициентов модели, что может быть важным в некоторых бизнес-контекстах.",,,
Решающие деревья и их ансамбли (лес и бустинг),Как строится дерево решений,"Дерево решений строится путём рекурсивного разбиения данных на подмножества, основываясь на критерии информативности, таком как энтропия, индекс Джини или MSE. На каждом узле выбирается наилучший признак и порог для разделения данных, чтобы максимизировать разделяющую способность на классы или минимизировать ошибку. Этот процесс продолжается до достижения заданной глубины, минимума выборок в узле, или других условий остановки.",,,
Решающие деревья и их ансамбли (лес и бустинг),Может ли дерево решений показывать вероятность?,"Да, дерево решений может показывать вероятность классов. В каждом листе дерева можно вычислить вероятность каждого класса как долю объектов этого класса среди всех объектов в листе. Это позволяет дереву возвращать не только конкретный класс, но и вероятности принадлежности к каждому классу.",,,
Решающие деревья и их ансамбли (лес и бустинг),Как получается ответ целевой переменной в дереве решений,"Ответ целевой переменной в дереве решений получается путём прохождения по дереву от корня до листа, применяя условия на каждом узле. Объект сравнивается с условиями на узлах, и в зависимости от результата выбирается одна из ветвей. Когда объект достигает листа, предсказание определяется значением или распределением классов в этом листе.",,,
Решающие деревья и их ансамбли (лес и бустинг),"Что такое энтропия, дерево ее старается минимизировать или максимизировать при построении?","Энтропия — это мера неопределённости или хаоса в данных, часто используемая для оценки качества разделений в деревьях решений. При построении дерева решений энтропия стремится к минимизации, чтобы каждое разделение уменьшало неопределённость в данных и обеспечивало более чистые подмножества.",,,
Решающие деревья и их ансамбли (лес и бустинг),Какая метрика оптимизируется в регрессионном дереве при выборе разбиения для нового узла?,"В регрессионном дереве оптимизируется среднеквадратичная ошибка (MSE). Разбиения выбираются так, чтобы минимизировать сумму квадратов отклонений предсказанных значений от реальных в каждом подмножестве.",,,
Решающие деревья и их ансамбли (лес и бустинг),За что отвечает L2 регуляризация в дереве?,"L2 регуляризация в деревьях решений помогает предотвратить переобучение, ограничивая величину весов. Она добавляет штраф за большие веса, сглаживая распределение параметров и уменьшая вероятность чрезмерного приспособления модели к обучающим данным. Это полезно для повышения обобщающей способности деревьев.",,,
Решающие деревья и их ансамбли (лес и бустинг),"До какой степени строятся дерево, т.е критерий останова дерева?","Дерево решений строится до достижения одного или нескольких критериев останова, таких как:

Максимальная глубина: Ограничение глубины дерева, чтобы избежать слишком глубоких разбиений.
Минимальное количество выборок в листе: Дерево не разделяется, если количество объектов в узле меньше заданного порога.
Минимальное уменьшение ошибки: Разделение прекращается, если улучшение в метрике (например, энтропии или Gini) меньше заданного значения.
Максимальное число листьев: Ограничение числа конечных узлов (листьев) в дереве.",,,
Решающие деревья и их ансамбли (лес и бустинг),"На этапе, когда мы ищем наиболее информативное разделение, можем ли мы применить к этому градиентный бустинг? Почему?","Градиентный бустинг нельзя напрямую применить к этапу выбора разделений в дереве, поскольку он предназначен для улучшения предсказаний всей модели, а не для оптимизации отдельных разбиений. Выбор наиболее информативных разбиений в деревьях производится локально на основе метрик, таких как энтропия или Gini. Градиентный бустинг работает на уровне ансамбля, добавляя новые деревья, которые исправляют ошибки предыдущих.",,,
Решающие деревья и их ансамбли (лес и бустинг),Можем ли мы преобразовать дерево в подобие линейной функции и вычислить дерево градиентным бустингом? Можем ли мы применить антиградиент к дереву?,"Мы не можем преобразовать дерево решений в линейную функцию, так как деревья работают с нелинейными зависимостями. Однако градиентный бустинг использует деревья для моделирования антиградиентов, чтобы исправить ошибки предыдущих моделей. Градиентный бустинг применяет антиградиенты на уровне ансамбля, добавляя деревья, которые минимизируют функцию потерь. Антиградиенты определяют направление и величину, на которые каждое новое дерево корректирует модель, чтобы улучшить её производительность.",,,
Решающие деревья и их ансамбли (лес и бустинг),Что такое слуайный лес и как он строится?,"Случайный лес — это ансамблевый метод машинного обучения, состоящий из множества деревьев решений, обученных на разных подвыборках данных. Основные этапы построения:

Бэггинг: Выбор случайных подвыборок из обучающего набора с возвращением.
Строительство деревьев: Каждое дерево строится на отдельной подвыборке и использует случайное подмножество признаков для разбиений на каждом узле.
Комбинация результатов: Предсказания всех деревьев усредняются (для регрессии) или принимается большинство голосов (для классификации) для получения итогового результата.
Случайный лес снижает разброс за счёт ансамблирования, повышая устойчивость модели.",,,
Решающие деревья и их ансамбли (лес и бустинг),Какие преимущества и недостатки случайного леса?,"Преимущества:

Высокая точность: Часто превосходит одиночные модели за счёт объединения предсказаний нескольких деревьев.
Устойчивость к переобучению: Благодаря случайности в обучении деревьев.
Обработка разнородных данных: Эффективно справляется с различными типами данных и не требует нормализации.
Оценка важности признаков: Предоставляет меры значимости для каждого признака.
Недостатки:

Высокие вычислительные затраты: Обучение большого числа деревьев может быть медленным.
Сложность интерпретации: Менее интерпретируем, чем одиночные деревья решений.
Может страдать от избыточности: Если число деревьев слишком велико, производительность может улучшаться незначительно, в то время как вычислительные затраты продолжают расти.",,,
Решающие деревья и их ансамбли (лес и бустинг),Какой глубины деревья используются в случайном лесу?,"В случайном лесу обычно используются деревья большой глубины, вплоть до их полного разрастания (максимальная глубина, когда каждый узел до конца разделён). Это позволяет каждому дереву обучиться максимально полно на своей подвыборке данных, так как случайный лес уменьшает переобучение за счёт ансамблирования множества глубоких, разнообразных деревьев.",,,
Решающие деревья и их ансамбли (лес и бустинг),Что может вызвать переобучение - ещё одно дерево в случайном лесу или в бустинге?,"Ещё одно дерево в бустинге может вызвать переобучение, так как бустинг добавляет деревья последовательно, и каждое дерево исправляет ошибки предыдущих. Если добавить слишком много деревьев, модель может слишком сильно приспособиться к обучающим данным. В случайном лесе, благодаря параллельной природе и бэггингу, добавление ещё одного дерева имеет меньше шансов вызвать переобучение.",,,
Решающие деревья и их ансамбли (лес и бустинг),"Вы обучили лес на выборке, целевые переменные которой состоят из строго положительных значений. К Вам приходят коллеги и говорят, что ваша модель начала выдавать отрицательные значения. Что сломалось, как починить?","Причина отрицательных предсказаний может быть связана с переобучением модели или с использованием методов регуляризации, таких как L2-регуляризация, которые могли сместить предсказания в отрицательную область. Чтобы исправить это, можно попробовать следующие действия:

Перепроверить данные: Убедиться, что все входные признаки и целевые переменные имеют ожидаемые диапазоны значений.

Перепроверить гиперпараметры модели: Настроить гиперпараметры модели, такие как глубина деревьев, количество деревьев и параметры регуляризации, чтобы улучшить обобщающую способность модели.

Применить постобработку: Применить постобработку к предсказаниям модели, например, использование функции ReLU (Rectified Linear Unit) для обрезки отрицательных значений или простое обнуление отрицательных значений.",,,
Решающие деревья и их ансамбли (лес и бустинг),"Когда мы добавляем дерево в случайный лес, как они изменяются?","При добавлении нового дерева в случайный лес каждое дерево остаётся независимым от других. Новое дерево обучается на случайной подвыборке данных и случайном подмножестве признаков, что увеличивает разнообразие моделей в лесу и может улучшить обобщающую способность модели за счёт снижения разброса предсказаний.",,Wildberries,
Решающие деревья и их ансамбли (лес и бустинг),"Когда увеличиваем глубину деревьев в случайном лесе, как изменяются?","При увеличении глубины деревьев в случайном лесе каждое дерево становится более способным к детализированию данных и может лучше подстраиваться под обучающие данные, что снижает смещение модели. Однако это также может привести к увеличению разброса и потенциальному переобучению, если глубина слишком велика.",,Wildberries,
Решающие деревья и их ансамбли (лес и бустинг),Какие деревья лучше брать в градиентном бустинге и случайном лесе: низкие или высокие?,"Градиентный бустинг: Лучше использовать низкие деревья (слабые модели), обычно с глубиной от 3 до 8 уровней, чтобы предотвратить переобучение и обеспечить корректирующую способность каждого дерева.

Случайный лес: Обычно используются высокие деревья (глубокие), так как метод бэггинга снижает риск переобучения. Глубокие деревья позволяют полностью обучиться на каждом подмножестве данных.",Стажер,Сбер,
Решающие деревья и их ансамбли (лес и бустинг),Как поведет себя бустинг если удалить первое/последнее дерево?,"Удаление первого дерева: Вероятно, значительно ухудшит производительность модели, так как первое дерево задаёт начальный базовый уровень предсказаний, на котором базируется всё дальнейшее улучшение.

Удаление последнего дерева: Может немного ухудшить производительность, так как последнее дерево обычно вносит менее значительные коррекции. Однако общее качество модели останется относительно стабильным.",Стажер,Сбер,
Статистика,МНК (Метод Наименьших Квадратов)-Что это такое?,"Метод наименьших квадратов (МНК) — это статистический метод для оценки параметров линейной регрессии, минимизирующий сумму квадратов разностей между наблюдаемыми значениями и значениями, предсказанными моделью. МНК даёт оптимальные оценки параметров в условиях гауссовского шума.",,,
Статистика,ММП (Метод Максимального Правдоподобия)-Что это такое?,"Метод максимального правдоподобия (ММП) — это метод оценки параметров статистической модели, который максимизирует правдоподобие наблюдаемых данных, исходя из выбранной модели. ММП широко используется из-за его хороших свойств, таких как состоятельность и асимптотическая нормальность.",,,
Узкий профиль - Анализ временных рядов / TSA,Приведите метрики для прогнозирования временных рядов,"Средняя абсолютная ошибка (MAE)
Среднеквадратичная ошибка (MSE)
Среднеквадратичный логарифмический корень ошибки (RMSLE)
Средняя абсолютная процентная ошибка (MAPE)
Симметричная средняя абсолютная процентная ошибка (sMAPE)
Коэффициент детерминации (R²)
Кросс-корреляция",,,
Узкий профиль - Анализ временных рядов / TSA,Обучения временных рядов-Как происходит обучение на временных рядах,"Обучение на временных рядах включает использование исторических временных данных для построения модели, которая прогнозирует будущие значения. Основные этапы:

Подготовка данных: Временные данные делятся на обучающую, валидационную и тестовую выборки с учётом временного порядка.

Создание признаков: Генерация признаков, таких как лаговые значения, скользящие средние и сезонные индикаторы.

Выбор модели: Подбор подходящей модели, такой как ARIMA, экспоненциальное сглаживание, LSTM или трансформеры.

Обучение модели: Настройка параметров модели на обучающих данных для минимизации функции потерь.

Валидация модели: Оценка точности модели на валидационной выборке и корректировка параметров.

Тестирование и внедрение: Применение модели к тестовым данным и её использование для реальных прогнозов.",,,
Узкий профиль - Анализ временных рядов / TSA,Как сделать кросс-валидацию на времянных рядах,"Для временных рядов стандартная кросс-валидация не подходит из-за временной зависимости данных. Вместо этого используется метод скользящего окна или прерывистой кросс-валидации:

Скользящее окно: Данные делятся на временные окна, где каждая итерация сдвигает тренировочный и тестовый периоды вперёд. Например, первые 70% данных для обучения и следующие 10% для теста, затем сдвиг на один период.

Прерывистая кросс-валидация (Time Series Split): Данные разделяются на последовательные временные сегменты, где каждый сегмент обучает модель, используя только предыдущие данные.",,,
Узкий профиль - Обработка естественного языка / NLP,"Правда ли, что позиционное кодирование критически необходимо трансформерам?","Да, позиционное кодирование критически необходимо для трансформеров, так как они не имеют встроенной способности учитывать порядок последовательностей, как, например, рекуррентные сети. Позиционное кодирование добавляет информацию о положении элементов в последовательности, позволяя трансформерам учитывать временную зависимость данных при обработке.",Junior NLP,MTS AI,https://datascience.stackexchange.com/questions/103224/why-do-transformers-need-positional-encodings
Узкий профиль - Обработка естественного языка / NLP,Опишите бейзлайн обучения БЕРТа для бинарной классификации,"Предобработка данных: Используйте предобученную модель BERT для извлечения скрытых представлений текстов. Тексты токенизируются и кодируются, включая специальные токены, такие как [CLS] для начала последовательности и [SEP] для разделения предложений.

Модель: BERT обрезается до [CLS] токена последнего слоя, который содержит информацию обо всей последовательности.

Классификатор: На выходе BERT добавляется полносвязный слой с сигмоидной активацией для предсказания вероятности принадлежности к одному из классов.

Функция потерь: Используется бинарная кросс-энтропия для оптимизации весов.

Обучение: Настраиваются верхние слои BERT и классификатор, используя заранее определённый датасет с метками классов.

Тонкая настройка (Fine-tuning): Обучение модели на небольшом количестве эпох с использованием небольшого коэффициента обучения, чтобы сохранить выученные BERTом представления.",Junior NLP,Сбер,
Узкий профиль - Обработка естественного языка / NLP,"Что будет, если на вход БЕРТу/ЛЛМ придет неизвестное слово?","Если на вход BERTу или другой LLM (Large Language Model) поступит неизвестное слово, то оно будет токенизировано на более мелкие части с помощью BPE токенизатора. Если слово полностью неизвестно, его части могут быть представлены в виде подслов (subwords) или отдельных символов, которые имеют известные представления в модели. Это позволяет моделям эффективно работать даже с незнакомыми словами, используя комбинацию известных токенов.",Junior NLP,Сбер,
Узкий профиль - Обработка естественного языка / NLP,Как работает BPE токенизатор (Byte Pair Encoding Tokenizer)?,"BPE токенизатор работает путём итеративного объединения часто встречающихся пар символов в тексте для создания новых токенов. Процесс состоит из следующих шагов:

Инициализация: Каждое слово разбивается на отдельные символы.

Поиск частотных пар: Определяются иерархически наиболее часто встречающиеся пары символов или подслов.

Объединение пар: Частотные пары символов объединяются в один токен, и словарь токенов обновляется.

Повторение: Процесс повторяется до достижения заданного количества токенов или пока нет новых частых пар для объединения.

Это позволяет BPE эффективно сокращать текст и справляться с неизвестными словами через разбиение на подслова.",Junior NLP,MTS AI,
Узкий профиль - Обработка естественного языка / NLP,Почему Self-Attention имеет приставку Self?,"Self-Attention имеет приставку ""Self"" потому, что каждый элемент последовательности (например, слово в предложении) оценивает своё внимание по отношению ко всем другим элементам этой же последовательности, включая себя. Это позволяет модели захватывать контекстную информацию и зависимости между словами независимо от их удалённости в тексте. Self-Attention вычисляет матрицу внимания на основе внутреннего контекста последовательности, что способствует учёту как локальных, так и глобальных зависимостей.",Стажер,АИРИ,
Узкий профиль - Обработка естественного языка / NLP,В чем роль маски внимания (Attention Mask)?,"Маска внимания (Attention Mask) используется для исключения ненужных частей последовательности из участия в процессе внимания. Она применяется, чтобы:

Обработка разной длины предложений: Игнорировать токены-паддинги, которые добавляются для выравнивания длины последовательностей.

Скрытие информации: В задачах вроде машинного перевода маска скрывает будущие токены от участия в текущем вычислении, чтобы избежать утечки информации (например, при генерации текста).

Улучшение эффективности: Снижает вычислительную нагрузку, исключая ненужные элементы, которые не должны участвовать в расчёте внимания.",Junior NLP,MTS AI,
Узкий профиль - Обработка естественного языка / NLP,Как обучается BERT в задаче NER?,"В задаче распознавания именованных сущностей (NER) BERT используется следующим образом:

Подготовка данных: Текст метится с указанием сущностей, такие как ""PERSON"", ""LOCATION"", и т.д.

Токенизация: Данные проходят через BERT токенизатор, преобразующий текст в последовательности токенов с помощью специальных токенов, таких как [CLS] и [SEP].

Модель: Векторные представления каждого токена на выходе BERT используются для классификации каждого токена в один из классов сущностей.

Классификатор: На выходные представления BERT добавляется линейный слой для предсказания классов сущностей.

Функция потерь: Используется кросс-энтропийная функция потерь для мультиклассовой классификации.

Тонкая настройка (Fine-tuning): BERT и добавленный слой обучаются на размеченных данных NER, чтобы выделять именованные сущности с высокой точностью.",Junior NLP,MTS AI,
Узкий профиль - Обработка естественного языка / NLP,Что такое word2vec?,"Word2vec — это метод для представления слов в виде векторных представлений в многомерном пространстве. Он обучается на больших корпусах текстов и создаёт векторы, которые сохраняют семантические и синтаксические отношения между словами. Существует два основных подхода в Word2vec:

CBOW (Continuous Bag of Words): Предсказывает текущее слово, исходя из окружающих его слов.

Skip-Gram: Предсказывает окружающие слова, исходя из текущего слова.

Word2vec позволяет захватывать семантические отношения и аналогии между словами в плотных векторах.",Junior NLP,MTS AI,
Узкий профиль - Обработка естественного языка / NLP,Что такое метрика ROUGE? Как считается?,"ROUGE (Recall-Oriented Understudy for Gisting Evaluation) — это метрика оценки качества машинного перевода и реферативного обобщения текстов. Она сравнивает текст модели с эталонным текстом и оценивает:

ROUGE-N: Сравнивает n-граммы в предсказанном и эталонном текстах.

ROUGE-L: Основывается на длиннейшей общей подпоследовательности (Longest Common Subsequence, LCS).

ROUGE-W: Использует взвешенную версию LCS.

ROUGE-S: Оценивает совпадение пропущенных биграмм.

ROUGE оценивает как точность, так и полноту (recall), предоставляя несколько вариантов подсчёта совпадений между сгенерированным и эталонным текстами.",Junior NLP,MTS AI,
Узкий профиль - Обработка естественного языка / NLP,Как работает Beam Search?,"Beam Search — это метод поиска оптимальных последовательностей в задачах генерации текста, таких как машинный перевод. Он работает следующим образом:

Инициализация: Начинается с начальной последовательности (например, стартового токена).

Расширение: Для каждой возможной последовательности генерируются все возможные продолжения, оцениваемые с точки зрения вероятности.

Отбор: Из всех возможных продолжений выбирается фиксированное количество (ширина луча, beam width) наиболее вероятных путей для дальнейшего расширения.

Итерация: Процесс повторяется, пока не будет достигнута заданная длина последовательности или специальный конечный токен.

Выбор оптимальной последовательности: В конце выбирается наиболее вероятная последовательность среди всех рассмотренных путей.

Beam Search эффективно балансирует между исследованием пространства поиска и вычислительными затратами, позволяя находить более вероятные последовательности по сравнению с жадным поиском.",Junior NLP,MTS AI,
Узкий профиль - Разработка систем машинного обучения / ML System Design,"Этапы построения модели машинного обучения-1. Расскажите как вы будете собирать данные, создавать и выводить в продакшен","Сбор данных:

Определение цели: Понимание задачи и требуемых данных.
Источники данных: Определение доступных источников, таких как базы данных, API, веб-скрапинг и публичные наборы данных.
Очистка данных: Удаление выбросов, обработка пропусков и аномалий, стандартизация форматов.
Разведочный анализ (EDA): Анализ структуры данных, визуализация распределений, корреляций и выявление зависимостей.
Создание модели:

Разделение данных: Разделение на обучающую, валидационную и тестовую выборки.
Предобработка данных: Нормализация, кодирование категориальных признаков, создание новых признаков.
Выбор модели: Подбор подходящей модели или ансамбля моделей в зависимости от задачи.
Обучение модели: Настройка модели на обучающих данных, оптимизация гиперпараметров с использованием валидационной выборки.
Оценка модели: Использование метрик для оценки производительности на валидационных и тестовых данных.
Тонкая настройка: Доработка модели и повторение шагов обучения и оценки до достижения удовлетворительного результата.
Вывод в продакшен:

Тестирование: Проверка модели на стабильность и производительность в различных условиях.
Документация: Создание документации, описывающей использование модели, её ограничения и метрики качества.
Интеграция: Внедрение модели в рабочие процессы или системы, создание API для доступа к модели.
Мониторинг: Постоянный мониторинг производительности модели на реальных данных, выявление дрейфа данных и необходимость в переобучении.
Поддержка и обновление: Регулярное обновление модели на новых данных для улучшения качества и адаптации к изменениям в данных.",,,
